Order ID,Date,Product,Country Code,Amount
208660,1/1/2017,Almond Croissant (San Francisco),USA,3.07
208661,1/1/2017,Tea (Tromsø),NOR,4.66
208662,1/1/2017,Apple Juice (Canberra),AUS,4.67
208663,1/1/2017,BLT Sandwich (Berlin),DEU,1.89
208664,1/1/2017,Toast (Boston),USA,4.63
208665,1/1/2017,Chocolate Chip Muffin (Southampton),GBR,2.14
208666,1/1/2017,Coffee (San Francisco),USA,2.41
208667,1/1/2017,Apple Juice (Melbourne),AUS,3.5
208668,1/1/2017,Lemon & Ginger Tea (Vancouver),CAN,2.48
208669,1/1/2017,Peach Juice (Madison),USA,4.55
208670,1/1/2017,Peach Juice (Hamburg),DEU,3.75
208671,1/1/2017,Almond Croissant (Melbourne),AUS,3.33
208672,1/1/2017,Still Water (Cardiff),GBR,3.37
208673,1/1/2017,Blueberry Muffin (Sønderborg),DNK,1.72
208674,1/1/2017,Green Tea (Strasbourg),FRA,1.86
208675,1/1/2017,Coffee (Austin),USA,2.53
208676,1/1/2017,Chocolate Twist (Tromsø),NOR,1.87
208677,1/1/2017,BLT Sandwich (Dresden),DEU,3.48
208678,1/1/2017,Orange Juice (Portland),USA,3.39
208679,1/1/2017,Cheese & Pickle Sandwich (Salzburg),AUT,2.22
208680,1/1/2017,Ham & Cheese Toastie (Paris),FRA,2.49
208681,1/1/2017,Orange Juice (Vancouver),CAN,1.91
208682,1/1/2017,Green Tea (Hamilton),NZL,1.6
208683,1/1/2017,Blueberry Muffin (Berlin),DEU,5.1
208684,1/1/2017,Almond Croissant (Graz),AUT,3.81
208685,1/1/2017,Orange Juice (Stuttgart),DEU,4.56
208686,1/1/2017,Ham & Cheese Toastie (Toulouse),FRA,2.03
208687,1/1/2017,Apple Juice (Melbourne),AUS,1.93
208688,1/1/2017,Porridge (Boston),USA,2.75
208689,1/1/2017,Lemon & Ginger Tea (Graz),AUT,4.94
208690,1/1/2017,Butter Croissant (Auckland),NZL,3.03
208691,1/1/2017,Lemon & Ginger Tea (Paris),FRA,4.08
208692,1/1/2017,Chocolate Chip Muffin (Hamilton),NZL,2.72
208693,1/1/2017,Chicken Fajita Wrap (Graz),AUT,4.7
208694,1/1/2017,Blueberry Muffin (Stuttgart),DEU,4.33
208695,1/1/2017,Chocolate Chip Muffin (London),GBR,5.41
208696,1/1/2017,Butter Croissant (Birmingham),GBR,1.59
208697,1/1/2017,Tea (Auckland),NZL,1.97
208698,1/1/2017,Tomato Juice (Berlin),DEU,3.23
208699,1/1/2017,Green Tea (Seattle),USA,2.51
208700,1/1/2017,Almond Croissant (Portland),USA,2.79
208701,1/1/2017,Fruit Box (Munich),DEU,2.6
208702,1/1/2017,Blueberry Muffin (Seattle),USA,4.86
208703,1/1/2017,Chocolate Chip Muffin (Brussels),BEL,4.4
208704,1/1/2017,BLT Sandwich (Lausanne),CHE,1.88
208705,1/1/2017,Lemon & Ginger Tea (Tromsø),NOR,2.97
208706,1/1/2017,Almond Croissant (Melbourne),AUS,5.02
208707,1/1/2017,Tea (Lausanne),CHE,4.11
208708,1/1/2017,Porridge (Portland),USA,3.73
208709,1/1/2017,Almond Croissant (Edinburgh),GBR,4.72
208710,1/1/2017,Cheese & Pickle Sandwich (Gdańsk),POL,3.04
208711,1/1/2017,Butter Croissant (Tromsø),NOR,1.74
208712,1/1/2017,Tuna Melt Panini (Boston),USA,4.11
208713,1/1/2017,Orange Juice (Paris),FRA,1.95
208714,1/1/2017,Apple Juice (Glasgow),GBR,4.73
208715,1/1/2017,Chocolate Twist (Lille),FRA,4.32
208716,1/1/2017,Green Tea (San Diego),USA,5.06
208717,1/1/2017,Peach Juice (Melbourne),AUS,2.33
208718,1/1/2017,Chicken Salad Sandwich (Kirkland),USA,3.8
208719,1/1/2017,Chicken Fajita Wrap (Stockholm),SWE,3.93
208720,1/1/2017,Chicken Fajita Wrap (Tromsø),NOR,4.14
208721,1/1/2017,Chocolate Twist (Cardiff),GBR,3.51
208722,1/1/2017,Lemon & Ginger Tea (Edinburgh),GBR,3.91
208723,1/1/2017,BLT Sandwich (Boston),USA,3.1
208724,1/1/2017,Still Water (Southampton),GBR,1.88
208725,1/1/2017,Chicken Salad Sandwich (Southampton),GBR,3.29
208726,1/1/2017,Tomato Juice (Hamilton),NZL,2.81
208727,1/1/2017,Still Water (Hamilton),NZL,3.98
208728,1/1/2017,Lemon & Ginger Tea (Portland),USA,2.66
208729,1/1/2017,Tomato Juice (Dresden),DEU,4.07
208730,1/1/2017,Tuna Melt Panini (Katowice),POL,3.06
